nicu,name,addr,city_state_zip,level,beds,type,contact
742,Midland Memorial Hospital,400 Rosalind Redfern Grover Pkwy,"Midland, TX 79701",II,18,Private Practice,
743,Millard Fillmore Suburban Hospital,1540 Maple Road,"Amherst, NY 14221",II,10,Academic Program,"Deepali Handa, MD"
744,Miller Children’s and Women’s Hospital,2801 Atlantic Ave,"Long Beach, CA 90806",III,96,Private Practice,"Antoine Soliman, MD"
745,Mills-Peninsula Health Services,1501 Trousdale Dr,"Burlingame, CA 94010",II,5,,
746,Mission Hospital,509 Biltmore Ave,"Asheville, NC 28801",III,51,Employed Group,"Jesse Bender, MD"
747,Mission Hospital,27700 Medical Center Rd,"Mission Viejo, CA 92691",III,22,Private Practice,"Stephen Hanten, MD"
748,Mission Regional Medical Center,900 S Bryan Rd,"Mission, TX 78572",III,20,Private Practice,
749,Mississippi Baptist Medical Center,1225 N State St,"Jackson, MS 39202",III,32,Private Practice,
750,Missouri Baptist Medical Center,3015 N Ballas Rd,"St. Louis, MO 63131",III,25,Academic Program,"Steve Liao, MD"
751,Mohawk Valley Health System – St. Luke’s Campus,1656 Champlin Ave,"Utica, NY 13502",II,12,Private Practice,
752,Monmouth Medical Center,300 2nd Ave,"Long Branch, NJ 07740",III,29,Private Practice,"Susan Hudome, MD"
753,Montefiore Medical Center – Einstein Campus,1825 Eastchester Road,"Bronx, NY 10461",IV,35,Academic Program,"Suhas Nafday, MD"
754,Montefiore Medical Center – Wakefield Campus,600 East 233rd Street,"Bronx, NY 10466",III,15,Academic Program,
755,Montefiore New Rochelle Hospital,16 Guion Pl,"New Rochelle, NY 10801",III,10,Academic Program,
756,Montefiore Nyack Hospital,"160 N Midland Ave,","Nyack, NY 10960",II,10,,"Jesus Jaile-Marti, MD"
757,Montefiore St. Lule’s Cornwall Hospitqal,70 Dubois St,"Newburgh, NY 12550",II,10,Academic Program,"Prabhakar Kocherlakota, MD"
758,Montgomery Medical Center,18101 Prince Philip Dr,"Olney, MD 20832",II,18,Academic Program,"Nitin Mehta, MD"
759,Morristown Medical Center,"100 Madison Avenue,","Morristown, NJ 07960",III,34,Private Practice,"Lawrence Skolnick, MD"
760,Morton Plant Hospital,300 Pinellas St,"Clearwater, FL 33756",II,15,Private Practice,
761,Moses Taylor Hospital,700 Quincy Ave,"Scranton, PA 18510",III,16,Private Practice,Open Position
762,Mount Auburn Hospital,330 Mt Auburn St,"Cambridge, MA 02138",II,7,Employed Group,"Nicole Grady, MD"
763,Mount Carmel East,6001 E Broad St,"Columbus, OH 43213",III,23,Private Practice,"Tony Thiele, DO"
764,Mount Carmel Grove City,5300 North Meadows Drive,"Grove City, Ohio 43123",III,16,Private Practice,
765,Mount Carmel St. Ann’s Hospital,500 S Cleveland Ave,"Westerville, OH 43081",III,23,Private Practice,"Randy Miller, MD"
766,Mount Sinai Hospital,1500 S Fairfield Ave,"Chicago, IL 60608",III,44,Academic Program,
767,Mount Sinai Kravis Children’s Hospital,1176 Fifth Avenue,"New York, NY 10029",IV,46,Academic Program,"Courtney Juliano, MD"
768,Mount Sinai Medical Center,4300 Alton Rd,"Miami Beach, FL 33140",III,8,,"Jose Adams, MD"
769,Mount Sinai South Nassau Hospital,1 Healthy Way,"Oceanside, NY 11572",II,6,Hospital Employed,"Warren Rosenfeld, MD"
770,Mount Sinai West,1000 10th Ave,"New York, NY 10019",III,35,Academic Program,"Lisa Eiland, MD"
771,Mountain View Hospital,3100 N Tenaya Way,Las Vegas NV 89128,III,24,Private Practice,"Patricia Ramsey, MD"
772,Mountain View Hospital,1000 E 100 N,"Payson, UT 84651",II,,Private Practice,"Dale Gerstmann, MD"
773,Mountain View Medical Center,4311 E Lohman Ave,"Las Cruces, NM 88011",II,12,Private Practice,"Marcella Denen, MD"
774,Mountain Vista Medical Center,1301 S Crismon Rd,"Mesa, AZ 85209",II,,,
775,Mountainside Hospital,1 Bay Ave,"Glen Ridge, NJ 07028",II,4,Private Practice,"Jonathan Mintzer, MD"
776,Multicare Auburn Medical Center,202 N Division St.,"Auburn, WA 98001",II,,Private Practice,
777,Multicare Deaconess Hospital,800 W 5th Ave,"Spokane, WA 99204",III,44,Private Practice,"Teicha Wilson, MD"
778,MultiCare Good Samaritan Hospital,401 15th Ave SE,"Puyallup, WA  98372",III,43,Private Practice,
779,MultiCare Tacoma General Hospital,315 Martin Luther King Junior Way,"Tacoma, WA  98405",IV,70,Private Practice,"Ray Sato, MD"
780,Munson Medical Center,1105 6th St,"Traverse City, MI 49684",III,22,Employed Group,"Matthew Arnold, MD"
781,MUSC Children’s Hospital,165 Ashley Ave,"Charleston, SC 29425",III,66,Academic Program,David Annibale. MD
782,Nacogdoches Medical Center,4920 NE Stallings Dr,"Nacogdoches, TX 75965",II,8,Private Practice,"Richard Deulofeut, MD"
783,Nacogdoches Memorial Hospital,1204 N Mound St,"Nacogdoches, TX 75961",II,,,
784,Nash UNC Health Care,2460 Curtis Ellis Drive,"Rocky Mount, NC 27804",II,12,Academic Program,
785,Nashville General Hospital,1818 Albion St,"Nashville, TN 37208",II,,Private Practice,Susan Campbell. MD
786,Nassau University Medical Center,2201 Hempstead Turnpike,"East Meadow, NY 11554",III,28,Academic Program,"Harriet Boxer, MD"
787,National Park Medical Center,1910 Malvern Ave,"Hot Springs National Park, AR 71901",II,,,
788,Nationwide Children’s Hospital,700 Children's Dr,"Columbus, OH 43205",IV,130,Academic Program,"Edward Shepherd, MD"
789,Natividad Medical Center,1441 Constitution Blvd,"Salinas, CA 93906",III,15,,
790,Naval Hospital at Camp LeJune,100 Brewster Blvd,"Camp Lejeune, NC 28547",II,,Private Practice,"Caleb Podraza, MD"
791,Naval Medical Center Portsmouth,620 John Paul Jones Cir,"Portsmouth, VA 23708",III,24,,
792,Naval Medical Center San Diego,34800 Bob Wilson Dr,"San Diego, CA 92134",III,32,,
793,Navicent Health – Children’s Hospital,888 Pine St,"Macon, GA 31201",III,66,Private Practice,"Mitch Rodriguez, MD"
794,Nemours Children’s Hospital,13535 Nemours Parkway,"Orlando, FL 32827",III,13,Academic Program,"Darlene Calhoun, MD"
795,Nemours/Alfred I. duPont Hospital for Children,1600 Rockland Road,"Wilmington, DE 19803",IV,36,Academic Program,"Mark Ogino, MD"
796,New Hanover Regional Medical Center,2131 S 17th St,"Wilmington, NC 28401, USA",III,45,Private Practice,"Sherri Carol, MD"
797,New York Presbyterian / Columbia University Medical Center,622 W 168th St,"New York, NY 10032",IV,62,Academic Program,"Marianne Garland, MD"
798,New York Presbyterian Allen Hospital,5141 Broadway,"New York, NY 10034",II,6,Academic Program,
799,New York Presbyterian Brooklyn Methodist Hospital,506 6th St,"Brooklyn, NY 11215",III,26,Academic Program,"Madhu Gudavalli, MD"
800,New York Presbyterian Hudson Valley Hospital,1980 Crompond Road,"Cortlandt Manor, New York 10567",II,8,Academic Program,
801,New York Presbyterian Lawrence Hospital,55 Palmer Avenue,"Bronxville, NY 10708",II,7,,
802,New York-Presbyterian Hospital / Queens,56-45 Main St,"Flushing, NY 11355",III,14,Academic Program,"Pinchi Srinivasan, MD"
803,New York-Presbyterian Lower Manhattan Hospital,170 William St,"New York, NY 10038",II,8,Academic Program,"Jeffrey M. Perlman, MD"
804,Newark Beth Israel Medical Center,"201 Lyons Ave,","Newark, NJ 07112",IV,46,Employed Group,"Morris Cohen, MD"
805,Newton Medical Center,"175 High St,","Newton, NJ 07860",II,,,
806,Newton Medical Center,600 Medical Center Dr,"Newton, KS 67114",II,,,
807,Newton-Wellesley Hospital,2014 Washington St,"Newton, MA 02462",II,12,Academic Program,"Sujatha Ramadurai, MD"
808,NewYork-Presbyterian Hospital / Weill Cornell Medical Center,525 E 68th St,"New York, NY 10065",IV,50,Academic Program,
809,Nicklaus Children’s Hospital,3100 Southwest 62nd Avenue,"Miami, FL 33155",III,40,Employed Group,"Saima Aftab, MD"
810,Norman Regional HealthPlex,3300 HealthPlex Parkway,"Norman, OK 73072",III,16,,
811,Norman Regional Moore,700 S Telephone Rd,"Moore, OK 73160",II,,,
812,North Central Baptist Hospital,520 Madison Oak Dr,"San Antonio, TX 78258, USA",IV,60,Private Practice,"Mary Wearden, MD"
813,North Central Bronx Hospital,3424 Kossuth Avenue,"Bronx, NY 10467",II,11,Academic Program,"Ronald Saintonge, MD"
814,North Colorado Medical Center,1801 16th St,"Greeley, CO 80631",II,,Private Practice,
815,North Florida Regional Medical Center,6500 W Newberry Rd,"Gainesville, FL 32605",II,12,Private Practice,
816,North Kansas City Hospital,2800 Clay Edwards Dr,"North Kansas City, MO 64116",III,18,Academic Program,"Steven Olsen, MD"
817,North Memorial Health Hospital,3300 Oakdale Ave N,"Robbinsdale, MN 55422",III,35,Private Practice,"Jeanne Mrozek, MD"
818,North Mississippi Medical Center – Gilmore Amory,1105 Earl Frye Blvd,"Amory, MS 38821",II,6,Private Practice,"Zhear Al-Godi, MD"
819,North Mississippi Medical Center – Tupelo,830 S Gloster St,"Tupelo, MS 38801",III,34,Private Practice,Open Position
820,North Oaks Medical Center,15790 N Oaks Dr,"Hammond, LA 70403",III,14,Academic Program,"Jeffrey Surcouf, MD"
821,North Shore Medical Center,"1100 NW 95th St,","Miami, FL 33150",III,,Private Practice,
822,North Shore Medical Center,81 Highland Avenue,"Salem, MA 01970",II,12,Academic Program,"Katheryn Nathe, MD (Interim)"
823,North Shore University Hospital,300 Community Dr,"Manhasset, NY 11030",III,51,Academic Program,"Richard Schanler, MD"
824,North Suburban Medical Center,9191 Grant St,"Thornton, CO 80229",II,,Private Practice,"Pamela Gewinner, MD"
825,Northbay Medical Center,1200 B Gale Wilson Blvd,"Fairfield, CA, USA",III,16,,
826,Northeast Baptist Hospital,8811 Village Dr,"San Antonio, TX 78217",III,16,Private Practice,
827,Northeast Georgia Medical Center,743 Spring St NE,"Gainesville, GA 30501",III,26,Private Practice,"Cynthia Cabrera, MD"
828,Northern Light Mercy Hospital,144 State St,"Portland, ME 04101",II,,,
829,Northern Westchester Hospital,400 E Main St,"Mt Kisco, NY 10549",III,10,Hospital Employed,"Rick Stafford, MD"
830,Northport Medical Center,2700 Hospital Dr,"Northport, AL 35476",II,13,Private Practice,"Javier Repetto, MD"
831,Northridge Hospital Medical Center,18300 Roscoe Blvd,"Northridge, CA 91325",III,17,,
832,Northside Hospital,1000 Johnson Ferry Rd NE,"Atlanta, GA 30342",III,100,Private Practice,"Kenneth Kupke, MD"
833,Northside Hospital Cherokee,450 Northside Cherokee Blvd,"Canton, GA 30115",III,15,Private Practice,
834,Northside Hospital Forsyth,1200 Northside Forsyth Dr,"Cumming, GA 30041",III,21,Private Practice,"Davin Miller, MD"
835,Northside Hospital Gwinnett,1000 Medical Center Blvd,"Lawrenceville, GA 30046",III,28,Private Practice,
836,Northwest Community Hospital,800 W Central Rd,"Arlington Heights, IL 60005",III,22,Academic Program,"Joel Fisher, MD"
837,Northwest Hospital,1959 NE Pacific St,"Seattle, WA 98195",II,,Academic Program,"Toby Cohen, MD"
838,Northwest Medical Center,6200 N La Cholla Blvd,"Tucson, AZ 85741, USA",II,17,Private Practice,"Latha  Kumaraswam, MD"
839,Northwest Medical Center,2801 N State Rd 7,"Margate, FL 33063",III,17,Private Practice,
840,Northwest Medical Center-Bentonville,3000 Medical Center Pkwy,"Bentonville, AR 72712",II,6,Network Medical Group,"Travis Anschutz, MD"
841,Northwest Texas Hospital,1501 South Coulter Street,"Amarillo, TX 79106",III,32,,
842,Northwestern Medicine Central DuPage Hospital,25 N Winfield Rd,"Winfield, IL 60190",III,29,Academic Program,"Jeffrey Loughhead, MD"
843,Northwestern Medicine Delnor Hospital,300 Randall Rd,"Geneva, IL 60134",II,,Academic Program,"Jeffrey Loughead, MD"
844,Northwestern Medicine Huntley Hospital,10400 Haligus Rd,"Huntley, IL 60142",II,,Private Practice,"Margaret Go, MD"
845,Northwestern Medicine Lake Forest Hospital,1000 N Westmoreland Rd,"Lake Forest, IL 60045",II,,Academic Program,
846,Northwestern Memorial Hospital,251 E. Huron St.,"Chicago, IL 60611",III,44,Academic Program,"Leslie Caldarelli, MD"
847,Norton Children’s Hospital,231 E Chestnut St,"Louisville, KY 40202, USA",IV,101,Academic Program,"Scott Duncan, MD"
848,Norton Hospital,4001 Dutchmans Ln,"Louisville, KY 40207",III,44,Academic Program,
849,Norwalk Hospital,34 Maple St,"Norwalk, CT 06856",III,16,Academic Program,"Brett Citarella, MD (Interim)"
850,Novant Health Huntersville Medical Center,10030 Gilead Rd,"Huntersville, NC 28078",III,4,Private Practice,
851,Novant Health Matthews Medical Center,1500 Matthews Township Pkwy,"Matthews, NC 28105",II,,Private Practice,
852,Novant Health Mint Hill Medical Center,8201 Healthcare Loop,"Charlotte, NC 28215",II,,Private Practice,
853,Novant Presbyterian Medical Center,200 Hawthorne Ln,"Charlotte, NC 28204",IV,38,Private Practice,"Joseph Brady, MD"
854,NYU Langone Brooklyn,150 55th Street,"Brooklyn, NY 11220",II,10,Academic Program,
855,NYU Winthrop Hospital,259 1st St,"New York, NY 11501",IV,35,Academic Program,"Nazeeh Hanna, MD"
856,O’Connor Hospital,2105 Forest Ave,"San Jose, CA 95128",III,10,,
857,Oak Hill Hospital,11375 Cortez Blvd,"Brooksville, FL 34613",II,10,Private Practice,"Alfredo Cartaya, MD"
858,OakBend Medical Center,1705 Jackson St,"Richmond, TX 77469",II,30,,
859,Ocean Medical Center,"415-425 Jack Martin Blvd,","Brick Township, NJ 08724",II,,Academic Program,
860,Ochsner Hospital for Children,1514 Jefferson Hwy,"Jefferson, LA 70121",IV,54,Academic Program,"Amanda England, MD"
861,Ochsner Medical Center – Baton Rouge,17000 Medical Center Dr,"Baton Rouge, LA 70816",III,21,Academic Program,"Steven Spedale, MD"
862,Ochsner Medical Center – Kenner,180 W. Esplanade Ave.,"Kenner, LA 70065",II,20,,
863,Ochsner Medical Center – West Bank,120 Ochsner Blvd,"Gretna, LA 70056",III,16,Academic Program,
864,Odessa Regional Medical Center,520 E 6th St,"Odessa, TX 79761",III,49,Private Practice,"Sanjay Patel, MD"
865,Ogden Regional Medical Center,5475 S 500 E,"Ogden, UT 84405",III,21,Private Practice,"James Berger, MD"
866,Ohio State University Wexner Medical Center,410 W 10th Ave,"Columbus, OH 43210",III,49,Academic Program,
867,Oishei Children’s Hospital,818 Ellicott St,"Buffalo, NY 14203",IV,64,Academic Program,"Deepali Handa, MD"
868,Oklahoma Children’s Hospital,​1200 Childrens Ave,"Oklahoma City, OK 73104",IV,94,Academic Program,"Patricia Williams, MD"
869,Olathe Medical Center,20333 W 151st St,"Olathe, KS 66061",II,,Private Practice,
870,Onslow Memorial Hospital,317 Western Blvd,"Jacksonville, NC 28546",III,15,Private Practice,"Madhur Mittal, MD"
871,Orange Coast Memorial,9920 Talbert Ave,"Fountain Valley, CA 92708",II,12,Private Practice,
872,Orange County Global Medical Center,1001 N Tustin Ave,"Santa Ana, CA 92705, USA",III,16,Private Practice,"Katrina Tesmer, MD"
873,Orange Park Medical Center,2001 Kingsley Ave,"Orange Park, FL 32073",II,7,Private Practice,
874,Orange Regional Medical Center,707 E Main St,"Middletown, NY 10940",II,10,Academic Program,
875,Oregon Health & Sciences University,3181 Sam Jackson Park Rd,"Portland, OR 97239",IV,48,Academic Program,"Robert Schelonka , MD"
876,Orem Community Hospital,331 N 400 West,"Orem, UT 84057",II,5,,
877,Osceola Regional Medical Center,700 W Oak St,"Kissimmee, FL 34741",III,18,Academic Program,
878,OSF Children’s Hospital of Illinois,530 NE Glen Oak Ave,"Peoria, IL 61637",III,64,Academic Program,"M. Jawad Javed, MD"
879,OSF Heart of Mary Medical Center,"1400 W Park St,","Urbana, IL 61801",II,,,
880,OSF St. Joseph Medical Center,2200 E Washington St,"Bloomington, IL 61701",II,,Academic Program,"M. Jawad Javed, MD"
881,Our Lady of Lourdes,4801 Ambassador Caffery Pkwy,"Lafayette, LA 70508",III,50,Private Practice,
882,Our Lady of the Lake Children’s  Hospital,8300 Constantin Blvd,"Baton Rouge, LA 70809",III,11,,
883,Overlake Medical Center,1035 116th Ave NE,"Bellevue, WA  98004",III,18,Private Practice,
884,Overland Park Regional Medical Center,10500 Quivira Road,"Overland Park, KS 66215",III,70,Private Practice,"Thomas Lancaster, MD"
885,Overlook Medical Center,"99 Beauvoir Ave,","Summit, NJ 07901",III,15,Private Practice,"Lawrence Skolnick, MD"
886,Owensboro Health Regional Hospital,1201 Pleasant Valley Road,"Owensboro, KY 42303",III,20,Academic Program,"Bridget Burshears, MD"
887,Palisades Medical Center,"7600 River Rd,","North Bergen, NJ 07047",II,,Academic Program,
888,Palmetto General Hospital,2001 W 68th St,"Hialeah, FL 33016",II,15,Private Practice,
889,Palomar Medical Center – Escondido,2185 Citracado Parkway,"Escondido, CA 92029",II,4,,
890,Palos Hospital,12251 S 80th Ave,"Palos Heights, IL 60467",II,,Private Practice,"Brett Galley, MD"
891,Paoli Hospital,255 W Lancaster Ave,"Paoli, PA 19301",II,,Network Medical Group,
892,Parkland Memorial Hospital,5200 Harry Hines Blvd,"Dallas, TX 75235",III,98,Academic Program,"Jaleel Mambarambath, MD"
893,Parkridge East Hospital,941 Spring Creek Rd,"Chattanooga, TN 37412",III,22,Private Practice,"Kelly Hersey, MD"
894,Parkview Community Hospital Medical Center,3865 Jackson St,"Riverside, CA 92503",III,16,Private Practice,"Daniel Saesim, MD"
895,Parkview Medical Center,400 West 16th Street,"Pueblo, CO 81003",II,7,Private Practice,
896,Parkview Women’s and Children’s Hospital,"11115 Parkview Plaza Dr,","Fort Wayne, IN 46845",III,31,Network Medical Group,"Win Boon, MD"
897,Pascack Valley Medical Center,"250 Old Hook Rd,","Westwood, NJ 07675",II,6,Private Practice,"Kiran Bhat, MD"
898,Passavant Area Hospital,1600 W Walnut St,"Jacksonville, IL 62650",II,,,
899,Peacehealth Sacred Heart Hospital,3355 RiverBend Dr,"Springfield , OR 97477",III,40,Private Practice,"Doug Leonard, MD"
900,Peacehealth Southwest Medical Center,400 Northeast Mother Joseph Place,"Vancouver, WA 98664, USA",III,26,Academic Program,
901,Penn Highlands DuBois,100 Hospital Ave,"DuBois, PA 15801",III,16,Private Practice,"Mohamed Hassan, MD"
902,Penn State Children’s Hospital,600 University Dr,"Hershey, PA 17033",IV,42,Academic Program,"Dennis J.	Mujsce, MD"
903,Penn State Health – St. Joseph Medical Center,2500 Bernville Rd,"Reading, PA 19605",II,6,Network Medical Group,
904,Pennisula Regional Medical Center,100 E Carroll St,"Salisbury, MD 21801",II,10,Academic Program,"Aser Kandil, MD"
905,Pennsylvania Hospital,800 Spruce St,"Philadelphia, PA 19107",III,45,Academic Program,"Karen Puopolo, MD"
906,Peyton Manning Children’s Hospital,2001 W 86th St,"Indianapolis, IN 46260",IV,97,Network Medical Group,"Taha BenSaad, MD"
907,Phoebe Putney Memorial Hospital,417 W 3rd Ave,"Albany, GA 31701",III,,,
908,Phoenix Children’s Hospital,1919 E Thomas Rd,"Phoenix, AZ 85016",IV,33,Private Practice,"Deborah Tom, MD"
909,Piedmont Athens Regional,1199 Prince Ave.,"Athens, GA 30606",III,20,Private Practice,"Atul Khurana, MD"
910,Piedmont Atlanta,1968 Peachtree Road NW,"Atlanta, GA 30309",III,27,Private Practice,"Scott Johnson, MD"
911,Piedmont Columbus Regional,710 Center St,"Columbus, GA 31904",III,46,Private Practice,
912,Piedmont Fayette Hospital,1255 Hwy 54,"Fayetteville, GA 30214",III,15,Private Practice,"Roderick Robinson, MD"
913,Piedmont Henry Hospital,1133 Eagle's Landing Parkway,"Stockbridge, GA 30281",III,28,Private Practice,
914,Piedmont Macon,350 Hospital Dr,"Macon, GA 31217",III,13,Private Practice,
915,Piedmont Medical Center,222 S Herlong Ave,"Rock Hill, SC 29732",III,12,Private Practice,
916,Piedmont Newnan Hospital,745 Poplar Rd,"Newnan, GA 30265",III,12,Private Practice,
917,Piedmont Newton Hospital,5126 Hospital Dr NE,"Covington, GA 30014",II,,Private Practice,
918,Piedmont Rockdale,1412 Milstead Ave NE,"Conyers, GA 30012",III,20,Private Practice,
919,Pikeville Medical Center,911 S Bypass Rd,"Pikeville, KY 41501",II,8,Hospital Employed,"Myla Santiago, MD"
920,Plantation General Hospital,401 NW 42nd Ave,"Plantation, FL 33317",III,30,Private Practice,"Mitchell Stern, MD"
921,Pomerado Hospital,15615 Pomerado Rd,"Poway, CA 92064",II,,,
922,Pomona Valley Hospital Medical Center,1798 N Garey Ave,"Pomona, CA 91767",III,53,Private Practice,"Shahid Kamran, MD"
923,Porter Regional Hospital,85 E U.S. Hwy 6,"Valparaiso, IN 46383",III,14,Private Practice,
924,Portneuf Medical Center,777 Hospital Way,"Pocatello, ID 83201",III,16,Private Practice,"Elizabeth O'Donnell, MD"
925,Presbyterian Hospital,1100 Central Ave SE,"Albuquerque, NM 87106",III,60,Private Practice,"Jennifer Anderson, MD"
926,Presbyterian Intercommunity Hospital,12401 Washington Blvd,"Whittier, CA 90602",III,34,,
927,Presbyterian St. Luke’s Medical Center,2001 N. High Street,"Denver, CO 80205",IV,84,Private Practice,"David Randolph, MD"
928,Primary Children’s Hospital,100 Mario Capecchi Dr,"Salt Lake City, UT 84113",IV,52,Academic Program,"Con Yee Ling, MD"
929,Prince William Hospital,8700 Sudley Rd,"Manassas, VA 20110",III,12,Private Practice,"Shantharama Karanth, MD"
930,Princeton Baptist Medical Center,701 Princeton Ave SW,"Birmingham, AL 35211",III,12,Academic Program,"Ginny Karle, MD"
931,Princeton Medical Center,1 Plainsboro Road,"Plainsboro, NJ 08536",II,14,Academic Program,"Marilyn Giorgi, MD"
932,Prisma Health Baptist Hospital,"Taylor at, Marion St","Columbia, SC 29220",III,26,Private Practice,
933,Prisma Health Greenville Memorial Hospital,701 Grove Road,"Greenville, SC",III,80,Private Practice,"Michael Stewart, MD"
934,Prisma Health Richland Hospital,5 Richland Medical Park Dr,"Columbia, SC 29203",III,69,Private Practice,"Victor Iskersky, MD"
935,Prisma Health Tuomey Hospital,"129 N Washington St,","Sumter, SC 29150",II,,,
936,Progress West Hospital,2 Progress Point Pkwy,"O'Fallon, MO 63368",II,8,Academic Program,"Casandra Pruit, MD (Peds Hospitalist)"
937,ProHealth – Oconomowoc Memorial Hospital,791 Summit Ave,"Oconomowoc, WI 53066, USA",II,16,,
938,ProHealth – Waukesha Memorial Hospital,725 American Ave,"Waukesha, WI 53188",III,22,,
939,Providence Alaska Medical Center,3340 Providence Dr,"Anchorage, AK 99508",III,66,Private Practice,"Evelyn Rider, MD"
940,Providence Holy Cross Medical Center,15031 Rinaldi St,"Mission Hills, CA 91345",III,12,Private Practice,Open Position
941,Providence Holy Family Hospital,5633 N Lidgerwood Street,"Spokane, WA 99208",II,,Private Practice,"Jami Lewis, MD"
942,Providence Little Company Of Mary Medical Center,4101 Torrance Blvd,"Torrance, CA 90503",III,34,Private Practice,
943,Providence Medical Center,8929 Parallel Pkwy,"Kansas City, KS 66112",II,,Private Practice,
944,Providence Portland Medical Center,4805 NE Glisan St,"Portland, OR 97213",III,18,Private Practice,"Fred Baker , MD"
945,Providence Regional Medical Center,1700 13th St,"Everett, WA 98201",III,29,Academic Program,"Michael D. Neufeld, MD"
946,Providence Sacred Heart,101 W 8th Ave,"Spokane, WA 99204",IV,61,Private Practice,"Chris Rabin, MD"
947,Providence Saint John’s Health Center,2121 Santa Monica Blvd,"Santa Monica, CA 90404",III,18,Private Practice,
948,Providence St. Joseph Medical Center,501 S Buena Vista St,"Burbank, CA 91505",III,20,Private Practice,"Robert Gall, MD"
949,Providence St. Patrick Hospital,500 West Broadway,Missoula MT 59802,II,3,,
950,Providence St. Peter Hospital,413 Lilly Rd NE,"Olympia, WA 98506",II,13,Academic Program,
951,Providence St. Vincent Medical Center,9205 SW Barnes Rd,"Portland, OR 97225",III,44,Private Practice,"Stefanie Rogers , MD"
952,Providence Tarzana Regional Medical Center,18321 Clark St,"Tarzana, CA 91356",III,21,,
953,Queen of the Valley Medical Center,1000 Trancas St,"Napa, CA 94558",III,6,,
954,Queens Hospital Center,82-68 164th St,"Jamaica, NY 11432",III,15,,
955,Rady Children’s Hospital,3020 Children's Way,"San Diego, CA 92123",IV,60,Academic Program,"Denise Suttner, MD"
956,Rancho Springs Medical Center,25500 Medical Center Dr,"Murrieta, CA 92562",II,13,,
957,Randall Children’s Hospital,2801 N Gantenbein Ave,"Portland, OR 97227",IV,45,Private Practice,"Howard Cohen , MD"
958,Rapides Women’s and Children’s Hospital,501 Medical Center Dr,"Alexandria, LA 71301",III,34,Private Practice,
959,Reading Hospital,420 S. Fifth Avenue,"West Reading, PA 19611",III,30,,
960,Redlands Community Hospital,350 Terracina Blvd,"Redlands, CA 92373",II,,,
961,Regional Health Rapid City Hospital,353 Fairmont Boulevard,"Rapid City, SD 57701",III,28,Private Practice,"Steven Benn, MD"
962,Regional Medical Center,225 N Jackson Ave,"San Jose, CA 95116",II,6,,
963,Regional One Health Medical Center,877 Jefferson Ave,"Memphis, TN 38103",III,65,Academic Program,"Ajay Talati, MD"
964,Regions Hospital,"640 Jackson St,","St Paul, MN 55101",II,,Hospital Employed,"Andrea Lampland, MD"
965,Renown Children’s Hospital,1155 Mill St,Reno NV 89502,III,39,Private Practice,"Gary Yup, MD"
966,Research Medical Center,2316 E Meyer Blvd,"Kansas City, MO 64132",III,17,Private Practice,"Tiffany Simpson, MD"
967,Resolute Health Hospital,555 Creekside Crossing,"New Braunfels, TX 78130",II,,,
968,Reston Hospital Center,1850 Town Center Pkwy,"Reston, VA 20190",III,16,Academic Program,"Mariam Said, MD"
969,Richmond University Medical Center,355 Bard Ave,"Staten Island, NY 10310",III,25,Academic Program,"Anthony Barone, DO"
970,Riddle Hospital,1068 W Baltimore Pike,"Media, PA 19063",II,8,Network Medical Group,
971,Ridgeview Medical Center,500 S Maple St,"Waconia, MN 55387",II,13,Hospital Employed,
972,Riley Hospital – IU Health North,11700 N Meridian St,"Carmel, IN 46032",III,20,Academic Program,"Sandra Hoseli, MD"
973,Riley Hospital for Children,705 Riley Hospital Dr,"Indianapolis, IN 46202",IV,60,Academic Program,"David Boyle, MD"
974,Rio Grande Regional Hospital,101 E Ridge Rd,"McAllen, TX 78503",III,36,Private Practice,
975,Riverside Community Hospital,4445 Magnolia Ave,"Riverside, CA 92501",III,20,,
976,Riverside Methodist Hospital,3535 Olentangy River Rd,"Columbus, OH 43214",III,42,Private Practice,"Juli Richter, MD"
977,Riverside Regional Medical Center,500 J Clyde Morris Blvd,"Newport News, VA 23601",III,21,Private Practice,
978,Riverside University Health System Medical Center,26520 Cactus Ave,"Moreno Valley, CA 92555",III,22,,
979,Riverton Hospital,3741 West 12600 South,"Riverton, UT 84065",II,9,,"Glen Huff, MD"
980,Riverview Medical Center,"1 Riverview Plaza,","Red Bank, NJ 07701",II,,Academic Program,
981,Robert Wood Johnson University Hospital,1 Robert Wood Johnson Place,"New Brunswick, NJ 08901",III,37,Academic Program,"David Sorrentino, MD"
982,Rochester General Hospital,1425 Portland Ave,"Rochester, NY 14621",II,14,Academic Program,"Nirupama Laroia, MD"
983,Rogue Valley Medical Center,2825 E Barnett Rd,"Medford, OR 97504 ",III,32,Network Medical Group,
984,Roper St. Francis Hospital,2095 Henry Tecklenburg Dr,"Charleston, SC 29414",II,,Hospital Employed,
985,Roper St. Francis Mount Pleasant,3500 Highway 17 North,"Mount Pleasant, SC 29466",II,,Hospital Employed,
986,Rose Medical Center,4567 E 9th Avenue,"Denver, CO 80220",III,28,Private Practice,"James Banks, MD"
987,Roseland Community Hospital,45 West 111th Street,"Chicago, Illinois 60628, USA",II,,,
988,Rush Foundation Hospital,1314 19th Ave,"Meridian, MS 39301",III,14,Private Practice,"Robert Blubaugh, DO"
